"#"	"x"	"bhikkhupātimokkhapāḷi"	"pos"	"grammar"	"+case"	"tamil"	"meaning"	"lit. meaning"	"root"	"rt gp"	"sign"	"base"	"construction"	"compound type"	"compound construction"	"abbrev"	"source"	"sentence"	"aṭṭhakathā"
"88"	"122"	"pācittiyaṃ"	"adj"	"nt nom sg of pācittiya"	"+loc"	"0"	"requiring confession"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"59"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"67"	"99"	"yo"	"pron"	"masc nom sg of ya"	"0"	"எவரேனும்"	"whichever, whoever"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"80"	"124"	"pana"	"ind"	"0"	"0"	"இப்போது"	"then, now, so, but"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"112"	"147"	"bhikkhu"	"noun"	"masc nom sg, from bhikkhati"	"0"	"பிக்கு"	"monk, monastic"	"beggar, mendicant"	"√bhikkh (beg)"	"1"	"a"	"0"	"√bhikkh + u"	"0"	"0"	""	""	""	""
"4"	"9"	"bhikkhussa"	"noun"	"masc gen sg of bhikkhu, from bhikkhati"	"0"	"0"	"of a monk, monastic"	"beggar, mendicant"	"√bhikkh (beg)"	"1"	"a"	"0"	"√bhikkh + u"	"0"	"0"	""	""	""	""
"158"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"9"	"10"	"bhikkhuniyā"	"noun"	"fem instr sg of bhikkhunī"	"0"	"0"	"by a nun"	"female beggar"	"√bhikkh (beg)"	"1"	"a"	"0"	"√bhikkh + u + [n] + ī"	"0"	"0"	""	""	""	""
"159"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"1"	"1"	"sikkhamānāya"	"noun"	"fem gen sg of sikkhamānā"	""	""	"of a female trainee, probationer"	""	"√sikkh (train)"	"1"	"a"	"√sikk + a > sikkha"	"sikkha + māna + ā"	""	""	"PA 59"	"vikappanasikkhāpadaṃ"	"yo pana bhikkhu bhikkhussa vā bhikkhuniyā vā <b>sikkhamānāya</b> vā sāmaṇerassa vā sāmaṇeriyā vā sāmaṃ cīvaraṃ vikappetvā appaccuddhāraṇaṃ paribhuñjeyya, pācittiyaṃ."	""
"160"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"1"	"1"	"sāmaṇerassa"	"noun"	"masc gen sg of sāmaṇera"	""	""	"novice"	"little samaṇa"	"√sam (exert, strive)"	"3"	"ya"	""	"√sam + aṇa + *era"	""	""	"PA 59"	"vikappanasikkhāpadaṃ"	"yo pana bhikkhu bhikkhussa vā bhikkhuniyā vā sikkhamānāya vā <b>sāmaṇerassa</b> vā sāmaṇeriyā vā sāmaṃ cīvaraṃ vikappetvā appaccuddhāraṇaṃ paribhuñjeyya, pācittiyaṃ."	""
"161"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"1"	"1"	"sāmaṇeriyā"	"noun"	"fem gen sg of sāmaṇerī"	""	""	"female novice"	"female little samaṇa"	"√sam (exert, strive)"	"3"	"ya"	""	"√sam + aṇa + *era + ī"	""	""	"PA 59"	"vikappanasikkhāpadaṃ"	"yo pana bhikkhu bhikkhussa vā bhikkhuniyā vā sikkhamānāya vā sāmaṇerassa vā <b>sāmaṇeriyā</b> vā sāmaṃ cīvaraṃ vikappetvā appaccuddhāraṇaṃ paribhuñjeyya, pācittiyaṃ."	""
"162"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"4"	"4"	"sāmaṃ"	"ind"	"adv, acc sg of sa"	"0"	"0"	"by oneself"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"20"	"23"	"cīvaraṃ"	"noun"	"nt nom sg of cīvara"	"0"	"0"	"robe"	"cloth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"1"	"1"	"vikappetvā"	"verb"	"abs of vikappeti"	""	""	"having shared ownership, assigned ownership"	"having made very suitable"	"√kapp (be fit, be suitable)"	"1"	"*e"	"√kapp + *e > kappe (caus)"	"vi + kappe + tvā"	""	""	"PA 59"	"vikappanasikkhāpadaṃ"	"yo pana bhikkhu bhikkhussa vā bhikkhuniyā vā sikkhamānāya vā sāmaṇerassa vā sāmaṇeriyā vā sāmaṃ cīvaraṃ <b>vikappetvā</b> appaccuddhāraṇaṃ paribhuñjeyya, pācittiyaṃ."	""
"1"	"1"	"apaccuddhārakaṃ"	"ind"	"adv, acc sg of apaccuddhāra"	""	""	"without withdrawing the assignment"	"not carrying back out"	"√dhar (hold, carry)"	"1"	"a"	""	"na + pati + ud + √dhar + a + akaṃ"	""	""	"PA 59"	"vikappanasikkhāpadaṃ"	"yo pana bhikkhu bhikkhussa vā bhikkhuniyā vā sikkhamānāya vā sāmaṇerassa vā sāmaṇeriyā vā sāmaṃ cīvaraṃ vikappetvā <b>appaccuddhāraṇaṃ</b> paribhuñjeyya, pācittiyaṃ."	""
"2"	"3"	"paribhuñjeyya"	"verb"	"opt 3rd sg of paribhuñjati"	"0"	"0"	"he would use, make use of"	"0"	"√bhuj (eat, enjoy)"	"2"	"ṃa"	"√bhuj + ṃa > bhuñja"	"pari + bhuñja + ti"	"0"	"0"	""	""	""	""
"89"	"122"	"pācittiyaṃ"	"adj"	"nt nom sg of pācittiya"	"+loc"	"0"	"requiring confession"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"60"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"68"	"99"	"yo"	"pron"	"masc nom sg of ya"	"0"	"எவரேனும்"	"whichever, whoever"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"81"	"124"	"pana"	"ind"	"0"	"0"	"இப்போது"	"then, now, so, but"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"113"	"147"	"bhikkhu"	"noun"	"masc nom sg, from bhikkhati"	"0"	"பிக்கு"	"monk, monastic"	"beggar, mendicant"	"√bhikkh (beg)"	"1"	"a"	"0"	"√bhikkh + u"	"0"	"0"	""	""	""	""
"5"	"9"	"bhikkhussa"	"noun"	"masc gen sg of bhikkhu, from bhikkhati"	"0"	"0"	"of a monk, monastic"	"beggar, mendicant"	"√bhikkh (beg)"	"1"	"a"	"0"	"√bhikkh + u"	"0"	"0"	""	""	""	""
"2"	"3"	"pattaṃ"	"masc"	"masc acc sg of patta"	"0"	"0"	"bowl"	"0"	"√pā (drink)"	"1"	"a"	"0"	"√pā + ta"	"0"	"0"	""	""	""	""
"163"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"21"	"23"	"cīvaraṃ"	"noun"	"nt nom sg of cīvara"	"0"	"0"	"robe"	"cloth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"164"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"1"	"2"	"nisīdanaṃ"	"noun"	"nt acc sg of nisīdana"	""	""	"sitting cloth"	"sinking down"	"√sad (sink, sit, settle)"	"1"	"a"	"√sad + a > sīda"	"ni + sīda + ana"	""	""	"PA 60"	"apanidhānasikkhāpadaṃ"	"yo pana bhikkhu bhikkhussa pattaṃ vā cīvaraṃ vā <b>nisīdanaṃ</b> vā sūcigharaṃ vā kāyabandhanaṃ vā apanidheyya vā apanidhāpeyya vā antamaso hasāpekkhopi, pācittiyaṃ."	""
"165"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"1"	"2"	"sūcigharaṃ"	"noun"	"nt acc sg of sūcighara"	""	""	"needle case"	"needle home"	""	""	""	""	"sūci + ghara"	"genitive tappurisa"	"sūciyā + ghara"	"PA 60"	"apanidhānasikkhāpadaṃ"	"yo pana bhikkhu bhikkhussa pattaṃ vā cīvaraṃ vā nisīdanaṃ vā <b>sūcigharaṃ</b> vā kāyabandhanaṃ vā apanidheyya vā apanidhāpeyya vā antamaso hasāpekkhopi, pācittiyaṃ."	""
"1"	"1"	"- sūci"	"noun"	"fem"	""	""	"needle"	"sharp pointy thing"	""	""	""	""	""	""	""	"PA 60"	"apanidhānasikkhāpadaṃ"	"yo pana bhikkhu bhikkhussa pattaṃ vā cīvaraṃ vā nisīdanaṃ vā <b>sūci</b>gharaṃ vā kāyabandhanaṃ vā apanidheyya vā apanidhāpeyya vā antamaso hasāpekkhopi, pācittiyaṃ."	""
"1"	"1"	"- gharaṃ"	"noun"	"nt acc sg of ghara"	""	""	"house"	""	""	""	""	""	""	""	""	"PA 60"	"apanidhānasikkhāpadaṃ"	"yo pana bhikkhu bhikkhussa pattaṃ vā cīvaraṃ vā nisīdanaṃ vā sūci<b>gharaṃ</b> vā kāyabandhanaṃ vā apanidheyya vā apanidhāpeyya vā antamaso hasāpekkhopi, pācittiyaṃ."	""
"166"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"1"	"1"	"kāyabandhanaṃ"	"noun"	"nt acc sg of kāyabandhana"	""	""	"belt"	"body tying"	""	""	""	""	"kāya + bandhana"	"dative tappurisa"	"kāyassa + bandhana"	"PA 60"	"apanidhānasikkhāpadaṃ"	"yo pana bhikkhu bhikkhussa pattaṃ vā cīvaraṃ vā nisīdanaṃ vā sūcigharaṃ vā <b>kāyabandhanaṃ</b> vā apanidheyya vā apanidhāpeyya vā antamaso hasāpekkhopi, pācittiyaṃ."	""
"2"	"2"	"- kāya"	"noun"	"masc"	"0"	"0"	"body"	"collection"	"√ci (gather, accumulate)"	"5"	"nā"	"0"	"√ci > ki > kāy + *a"	"0"	"0"	""	""	""	""
"1"	"1"	"- bandhanaṃ"	"noun"	"nt acc sg of bandhana"	""	""	"tie, belt"	"tying"	"√bandh (tie)"	"1"	"a"	""	"√bandh + ana"	""	""	"PA 60"	"apanidhānasikkhāpadaṃ"	"yo pana bhikkhu bhikkhussa pattaṃ vā cīvaraṃ vā nisīdanaṃ vā sūcigharaṃ vā kāya<b>bandhanaṃ</b> vā apanidheyya vā apanidhāpeyya vā antamaso hasāpekkhopi, pācittiyaṃ."	""
"167"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"1"	"1"	"apanidheyya"	"verb"	"opt 3rd sg of apanidheti"	""	""	"he would hide"	"he would place down away"	"√dhā (place, support)"	"1"	"a"	"√dhā + a > dhe (irreg)"	"apa + ni + dhe + ti"	""	""	"PA 60"	"apanidhānasikkhāpadaṃ"	"yo pana bhikkhu bhikkhussa pattaṃ vā cīvaraṃ vā nisīdanaṃ vā sūcigharaṃ vā kāyabandhanaṃ vā <b>apanidheyya</b> vā apanidhāpeyya vā antamaso hasāpekkhopi, pācittiyaṃ."	""
"168"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"1"	"1"	"apanidhāpeyya"	"verb"	"opt 3rd sg of apanidhāpeti"	""	""	"he would cause to hide"	"he would cause to place down away"	"√dhā (place, support)"	"1"	"a"	"√dhā + āpe > dhāpe"	"apa + ni + dhāpe + ti"	""	""	"PA 60"	"apanidhānasikkhāpadaṃ"	"yo pana bhikkhu bhikkhussa pattaṃ vā cīvaraṃ vā nisīdanaṃ vā sūcigharaṃ vā kāyabandhanaṃ vā apanidheyya vā <b>apanidhāpeyya</b> vā antamaso hasāpekkhopi, pācittiyaṃ."	""
"169"	"220"	"vā"	"ind"	"conj"	"0"	"அல்லது"	"or, either or"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"5"	"7"	"antamaso"	"ind"	"adv, abl sg of antama"	"0"	"ஆயினும்"	"even so much as"	"from the last"	"0"	"0"	"0"	"0"	"anta + ma + sa"	"0"	"0"	""	""	""	""
"1"	"1"	"hassāpekkhopi"	""	""	""	""	""	""	""	""	""	""	""	""	""	"PA 60"	"apanidhānasikkhāpadaṃ"	"yo pana bhikkhu bhikkhussa pattaṃ vā cīvaraṃ vā nisīdanaṃ vā sūcigharaṃ vā kāyabandhanaṃ vā apanidheyya vā apanidhāpeyya vā antamaso <b>hasāpekkhopi</b>, pācittiyaṃ."	""
"1"	"1"	"- hassāpekkho"	"adj"	"masc nom sg of hassāpekkha"	""	""	"for fun"	"looking for a laugh"	""	""	""	""	"hassa + apekkha"	"locative tappurisa"	"hasse + apekkha"	"PA 60"	"apanidhānasikkhāpadaṃ"	"yo pana bhikkhu bhikkhussa pattaṃ vā cīvaraṃ vā nisīdanaṃ vā sūcigharaṃ vā kāyabandhanaṃ vā apanidheyya vā apanidhāpeyya vā antamaso hasāpekkhopi, pācittiyaṃ."	""
"1"	"1"	"- - hassa"	"noun"	"nt"	""	""	"laugh, fun, amusement"	""	"√has (elate, laugh) "	"1"	"a"	""	"√has + ya"	""	""	"PA 60"	"apanidhānasikkhāpadaṃ"	"yo pana bhikkhu bhikkhussa pattaṃ vā cīvaraṃ vā nisīdanaṃ vā sūcigharaṃ vā kāyabandhanaṃ vā apanidheyya vā apanidhāpeyya vā antamaso <b>hasa</b>-apekkhopi, pācittiyaṃ."	""
"1"	"1"	"- - apekkho"	"adj"	"masc nom sg of apekkha, from apekkhati"	""	""	"looking for"	"looking away"	"√ikkh (see)"	"1"	"a"	""	"apa + √ikkha + a"	""	""	"PA 60"	"apanidhānasikkhāpadaṃ"	"yo pana bhikkhu bhikkhussa pattaṃ vā cīvaraṃ vā nisīdanaṃ vā sūcigharaṃ vā kāyabandhanaṃ vā apanidheyya vā apanidhāpeyya vā antamaso hasa-<b>apekkho</b>-pi, pācittiyaṃ."	""
"21"	"26"	"- api"	"ind"	"conj"	"0"	"யாக"	"then, and, now, even"	"0"	"0"	"0"	"0"	"0"	"(a)pi"	"0"	"0"	""	""	""	""
"90"	"122"	"pācittiyaṃ"	"adj"	"nt nom sg of pācittiya"	"+loc"	"0"	"requiring confession"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"61"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"69"	"99"	"yo"	"pron"	"masc nom sg of ya"	"0"	"எவரேனும்"	"whichever, whoever"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"82"	"124"	"pana"	"ind"	"0"	"0"	"இப்போது"	"then, now, so, but"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"114"	"147"	"bhikkhu"	"noun"	"masc nom sg, from bhikkhati"	"0"	"பிக்கு"	"monk, monastic"	"beggar, mendicant"	"√bhikkh (beg)"	"1"	"a"	"0"	"√bhikkh + u"	"0"	"0"	""	""	""	""
"2"	"3"	"sañcicca"	"ind"	"adv, ger of sañceteti"	"0"	"வேண்டுமென்றே"	"intentionally, deliberately"	"with mind"	"√cit (think)"	"8"	"*e"	"0"	"saṃ + √cit + ya"	"0"	"0"	""	""	""	""
"1"	"1"	"pāṇaṃ"	"noun"	"masc acc sg of pāṇa"	""	""	"living being"	"breathing being"	"√an (breath)"	"1"	"a"	""	"pa + √an + a"	""	""	"PA 61"	"sañciccasikkhāpadaṃ"	"yo pana bhikkhu sañcicca <b>pāṇaṃ</b> jīvitā voropeyya, pācittiyaṃ."	""
"3"	"3"	"jīvitā"	"noun"	"abl sg of jīvita"	"0"	"உயிரிலிருந்து"	"from life"	"0"	"√jīv (live)"	"1"	"a"	"0"	"√jīv + ita"	"0"	"0"	""	""	""	""
"2"	"2"	"voropeyya"	"verb"	"opt 3rd sg of voropeti, caus of avaruhati"	"+abl"	"பிரிக்கக்கூடுமானால்"	"he would deprive (of)"	"take down (from)"	"√ruh (ascend, grow)"	"1"	"*e"	"√ruh + *e > rohe > rope (caus)"	"[v] + ava + rope + ti"	"0"	"0"	""	""	""	""
"91"	"122"	"pācittiyaṃ"	"adj"	"nt nom sg of pācittiya"	"+loc"	"0"	"requiring confession"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"62"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"70"	"99"	"yo"	"pron"	"masc nom sg of ya"	"0"	"எவரேனும்"	"whichever, whoever"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"83"	"124"	"pana"	"ind"	"0"	"0"	"இப்போது"	"then, now, so, but"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"115"	"147"	"bhikkhu"	"noun"	"masc nom sg, from bhikkhati"	"0"	"பிக்கு"	"monk, monastic"	"beggar, mendicant"	"√bhikkh (beg)"	"1"	"a"	"0"	"√bhikkh + u"	"0"	"0"	""	""	""	""
"7"	"14"	"jānaṃ"	"ind"	"adv, from jānanta"	"0"	"0"	"knowingly, consciously, wittingly"	"knowing"	"√ñā (know)"	"5"	"nā"	"√ñā + nā > jānā"	"jānā + aṃ"	"0"	"0"	""	""	""	""
"2"	"2"	"sappāṇakaṃ"	"adj"	"nt acc sg of sappāṇaka"	"0"	"0"	"containing living beings"	"with breath"	"√an (breath)"	"1"	"a"	"0"	"sa + pa + √an + a + ka"	"0"	"0"	""	""	""	""
"2"	"2"	"udakaṃ"	"noun"	"nt acc sg of udaka"	"0"	"0"	"water"	"0"	"√ud (be wet)"	"2"	"ṃa"	"0"	"√ud + aka"	"0"	"0"	""	""	""	""
"3"	"3"	"paribhuñjeyya"	"verb"	"opt 3rd sg of paribhuñjati"	"0"	"0"	"he would use, make use of"	"0"	"√bhuj (eat, enjoy)"	"2"	"ṃa"	"√bhuj + ṃa > bhuñja"	"pari + bhuñja + ti"	"0"	"0"	""	""	""	""
"92"	"122"	"pācittiyaṃ"	"adj"	"nt nom sg of pācittiya"	"+loc"	"0"	"requiring confession"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"63"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"71"	"99"	"yo"	"pron"	"masc nom sg of ya"	"0"	"எவரேனும்"	"whichever, whoever"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"84"	"124"	"pana"	"ind"	"0"	"0"	"இப்போது"	"then, now, so, but"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"116"	"147"	"bhikkhu"	"noun"	"masc nom sg, from bhikkhati"	"0"	"பிக்கு"	"monk, monastic"	"beggar, mendicant"	"√bhikkh (beg)"	"1"	"a"	"0"	"√bhikkh + u"	"0"	"0"	""	""	""	""
"8"	"14"	"jānaṃ"	"ind"	"adv, from jānanta"	"0"	"0"	"knowingly, consciously, wittingly"	"knowing"	"√ñā (know)"	"5"	"nā"	"√ñā + nā > jānā"	"jānā + aṃ"	"0"	"0"	""	""	""	""
"1"	"1"	"yathādhammaṃ"	"adj"	"nt acc sg of yathādhamma"	""	""	"according to the law, legally"	""	""	""	""	""	"yathā + dhamma"	"kammadhāraya"	"yathā + dhamma"	"PA 63"	"ukkoṭanasikkhāpadaṃ"	"yo pana bhikkhu jānaṃ <b>yathādhammaṃ</b> nihat'ādhikaraṇaṃ punakammāya ukkoṭeyya, pācittiyaṃ."	""
"2"	"3"	"- yathā"	"ind"	"adv"	"0"	"0"	"like, as"	"0"	"0"	"0"	"0"	"0"	"ya + thā"	"0"	"0"	""	""	""	""
"3"	"4"	"- dhammaṃ"	"noun"	"masc acc sg of dhamma"	"0"	"0"	"state"	"0"	"√dhar (hold)"	"1"	"a"	"0"	"√dhar + ma"	"0"	"0"	""	""	""	""
"1"	"1"	"nihatādhikaraṇaṃ"	"noun"	"nt acc sg of nihatādhikaraṇa"	""	""	"closed case, settled lawsuit"	"killed down case"	""	""	""	""	"nihata + adhikaraṇa"	"accusative tappurisa"	"nihata + adhikaraṇaṃ"	"PA 63"	"ukkoṭanasikkhāpadaṃ"	"yo pana bhikkhu jānaṃ yathādhammaṃ <b>nihat'ādhikaraṇaṃ</b> punakammāya ukkoṭeyya, pācittiyaṃ."	""
"1"	"1"	"- nihata"	"pp"	""	""	""	"settled, closed"	"killed down"	"√han (beat, kill)"	"1"	"a"	""	"√han + ta"	""	""	"PA 63"	"ukkoṭanasikkhāpadaṃ"	"yo pana bhikkhu jānaṃ yathādhammaṃ <b>nihata</b>-adhikaraṇaṃ punakammāya ukkoṭeyya, pācittiyaṃ."	""
"1"	"1"	"- adhikaraṇaṃ"	"noun"	"nt acc sg of adhikaraṇa"	""	""	"legal case, issue"	""	"√kar (do, make)"	"7"	"o"	""	"adhi + √kar + aṇa"	""	""	"PA 63"	"ukkoṭanasikkhāpadaṃ"	"yo pana bhikkhu jānaṃ yathādhammaṃ nihata-<b>adhikaraṇaṃ</b> punakammāya ukkoṭeyya, pācittiyaṃ."	""
"1"	"1"	"punakammāya"	"noun"	"dat sg of punakamma"	""	""	"for the purpose of redoing, reopening"	"for doing again"	""	""	""	""	"puna + kamma"	"kammadhāraya"	"puna + kamma"	"PA 63"	"ukkoṭanasikkhāpadaṃ"	"yo pana bhikkhu jānaṃ yathādhammaṃ nihat'ādhikaraṇaṃ <b>punakammāya</b> ukkoṭeyya, pācittiyaṃ."	""
"1"	"1"	"- puna"	"ind"	""	""	""	"again"	""	""	""	""	""	""	""	""	"PA 63"	"ukkoṭanasikkhāpadaṃ"	"yo pana bhikkhu jānaṃ yathādhammaṃ nihat'ādhikaraṇaṃ <b>puna</b>kammāya ukkoṭeyya, pācittiyaṃ."	""
"1"	"1"	"- kammāya"	"noun"	"dat sg of kamma"	""	""	"for doing"	""	"√kar (do, make)"	"7"	"o"	""	"√kar + ma"	""	""	"PA 63"	"ukkoṭanasikkhāpadaṃ"	"yo pana bhikkhu jānaṃ yathādhammaṃ nihat'ādhikaraṇaṃ puna<b>kammāya</b> ukkoṭeyya, pācittiyaṃ."	""
"1"	"1"	"ukkoṭeyya"	"verb"	"opt 3rd sg of ukkoṭeti"	""	""	"he would reopen"	"he would cause to bend up"	"√kuṭ (be crooked, bent) "	"1"	"a"	"√kuṭ + *e > koṭe"	"ud + koṭe + ti"	""	""	"PA 63"	"ukkoṭanasikkhāpadaṃ"	"yo pana bhikkhu jānaṃ yathādhammaṃ nihat'ādhikaraṇaṃ punakammāya <b>ukkoṭeyya</b>, pācittiyaṃ."	""
"93"	"122"	"pācittiyaṃ"	"adj"	"nt nom sg of pācittiya"	"+loc"	"0"	"requiring confession"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"64"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"72"	"99"	"yo"	"pron"	"masc nom sg of ya"	"0"	"எவரேனும்"	"whichever, whoever"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"85"	"124"	"pana"	"ind"	"0"	"0"	"இப்போது"	"then, now, so, but"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"117"	"147"	"bhikkhu"	"noun"	"masc nom sg, from bhikkhati"	"0"	"பிக்கு"	"monk, monastic"	"beggar, mendicant"	"√bhikkh (beg)"	"1"	"a"	"0"	"√bhikkh + u"	"0"	"0"	""	""	""	""
"6"	"9"	"bhikkhussa"	"noun"	"masc gen sg of bhikkhu, from bhikkhati"	"0"	"0"	"of a monk, monastic"	"beggar, mendicant"	"√bhikkh (beg)"	"1"	"a"	"0"	"√bhikkh + u"	"0"	"0"	""	""	""	""
"9"	"14"	"jānaṃ"	"ind"	"adv, from jānanta"	"0"	"0"	"knowingly, consciously, wittingly"	"knowing"	"√ñā (know)"	"5"	"nā"	"√ñā + nā > jānā"	"jānā + aṃ"	"0"	"0"	""	""	""	""
"2"	"2"	"duṭṭhullaṃ"	"adj"	"fem acc sg of duṭṭhalla"	"0"	"0"	"serious"	"bad heavy"	"√thūl (be fat, coarse)"	"8"	"*e"	"0"	"dur + √thūl + a "	"0"	"0"	""	""	""	""
"3"	"4"	"āpattiṃ"	"noun"	"fem acc sg of āpatti, from āpajjati"	"0"	"குற்றத்தை"	"offence, transgression, wrongdoing"	"in go wrong"	"√pad (go, step)"	"3"	"ya"	"0"	"ā + √pad + ti"	"0"	"0"	""	""	""	""
"1"	"1"	"paṭicchādeyya"	"verb"	"opt 3rd sg of paṭichādeti"	""	""	"he would conceal"	"he would cover"	"√chad (cover, conceal)"	"8"	"*e"	"√chad + *e > chāde"	"pati + chāde + ti"	""	""	"PA 64"	"duṭṭhullasikkhāpadaṃ"	"yo pana bhikkhu bhikkhussa jānaṃ duṭṭhullaṃ āpattiṃ <b>paṭicchādeyya</b>, pācittiyaṃ."	""
"94"	"122"	"pācittiyaṃ"	"adj"	"nt nom sg of pācittiya"	"+loc"	"0"	"requiring confession"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
""	""	"65"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"73"	"99"	"yo"	"pron"	"masc nom sg of ya"	"0"	"எவரேனும்"	"whichever, whoever"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"86"	"124"	"pana"	"ind"	"0"	"0"	"இப்போது"	"then, now, so, but"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	""	""	""
"118"	"147"	"bhikkhu"	"noun"	"masc nom sg, from bhikkhati"	"0"	"பிக்கு"	"monk, monastic"	"beggar, mendicant"	"√bhikkh (beg)"	"1"	"a"	"0"	"√bhikkh + u"	"0"	"0"	""	""	""	""
"10"	"14"	"jānaṃ"	"ind"	"adv, from jānanta"	"0"	"0"	"knowingly, consciously, wittingly"	"knowing"	"√ñā (know)"	"5"	"nā"	"√ñā + nā > jānā"	"jānā + aṃ"	"0"	"0"	""	""	""	""
"1"	"1"	"ūnavīsativassaṃ"	"adj"	"masc acc sg of ūnavīsativassa"	""	""	"who is less than twenty years old"	"less than twenty years"	""	""	""	""	"ūna + vīsati + vassa"	"kammadhāraya"	"ūnavīsati + vassa"	"PA 65"	"ūnavīsativassasikkhāpadaṃ"	"yo pana bhikkhu jānaṃ <b>ūnavīsativassaṃ</b> puggalaṃ upasampādeyya, so ca puggalo anupasampanno, te ca bhikkhū gārayhā, idaṃ tasmiṃ pācittiyaṃ."	""
